id,salary_in_usd
0,155186.73593178546
1,149430.09676018375
2,121021.16498159827
3,61853.1489647816
4,41111.14806290259
5,83770.9252028356
6,105811.46366743115
7,70574.00164269369
8,63501.690074483304
9,172155.46590618
10,120078.10836803883
11,177357.8851608747
12,65669.10495165322
13,45112.91265700559
14,99237.23846346192
15,63904.79458143247
16,100614.13832303153
17,129191.5245286212
18,44571.55549142444
19,48286.637556498776
20,41185.8651192165
21,41673.90198245744
22,82447.52538771939
23,148974.09871063434
24,23971.82481458808
25,47161.743789579356
26,105155.95896320924
27,199048.58655746706
28,41626.91445715303
29,134434.1414490855
30,121563.08087735326
31,120190.48717861745
32,63607.401940186544
33,69428.54219702142
34,46913.72641988179
35,51921.77340188179
36,143778.34632068145
37,14435.445915929024
38,57467.024587339445
39,172191.51538356705
40,103788.7516886335
41,17348.383947342085
42,117089.77346645194
43,169294.60180374442
44,105228.13177460383
45,215510.85693833724
46,127378.88537958659
47,55866.263710008534
48,120190.48717861745
49,36810.234149510485
50,124239.44676794617
51,50614.16858974077
52,131351.41802888282
53,136225.83385284047
54,97550.3709777467
55,67675.7073027366
56,155262.33838568907
57,178593.8691206455
58,119060.73585966692
59,144471.43706644283
60,119060.73585966692
61,215274.8923553939
62,144471.43706644283
63,141041.88287442215
64,157297.382822329
65,172744.62698625654
66,172744.62698625654
67,144471.43706644283
68,111945.22646560562
69,69070.59870953203
70,224665.02390379668
71,158660.39858165898
72,93360.8605109037
73,64766.72684134571
74,127672.74549563098
75,131890.45334200215
76,65983.70677056669
77,71182.3894251562
78,168997.65573630607
79,205322.42674346417
80,36994.0473745601
81,48436.83279299379
82,341953.74780012295
83,160351.95762235802
84,105571.70669062564
85,64853.670948525934
86,64853.670948525934
87,155262.33838568907
88,144471.43706644283
89,125938.23020691602
90,50370.96329137794
91,62921.9733878291
92,76058.36932527942
93,37110.23015641969
94,144471.43706644283
95,128744.16694365581
96,41999.55096554722
97,73548.2701867478
98,67283.1952283256
99,156404.47127000307
100,144471.43706644283
101,119060.73585966692
102,119060.73585966692
103,172744.62698625654
104,155262.33838568907
105,49338.056516096774
106,111945.22646560562
