id,salary_in_usd
0,120129.0150655899
1,153083.27515260316
2,126685.63368455504
3,40706.90321199036
4,35190.52792588806
5,79325.8679870758
6,96470.42310754396
7,40382.757900634766
8,63916.66830674744
9,181339.4035324249
10,26847.76513330078
11,186150.0747779999
12,95614.9313339386
13,27358.210766235352
14,98588.6973156128
15,45427.01293603516
16,80663.79414216614
17,179989.79359666444
18,58683.69797364807
19,63224.8433727417
20,100421.63248483276
21,69052.66465608215
22,87381.51813165283
23,158860.68369142152
24,5709.681120315552
25,64160.76666490173
26,77357.27701989746
27,193544.22471849064
28,49860.09324876404
29,105419.07241479492
30,97699.13280336
31,119540.14968911745
32,117070.3483184967
33,77001.44066468811
34,22430.93853608704
35,71160.26432458496
36,158860.68369142152
37,49607.41858522034
38,70177.47101155853
39,195751.20875779729
40,19675.223223129276
41,18627.624645629883
42,121486.43601457214
43,184170.9314712677
44,89218.80809060669
45,224807.03290979005
46,102872.27851335144
47,69932.87731687164
48,119540.14968911745
49,32058.11997834778
50,124388.1941036377
51,53456.821920791626
52,127071.85414926147
53,141430.95509950258
54,101630.38687173462
55,76838.19236413574
56,152710.7785743866
57,189311.63139382936
58,117766.5718883667
59,145014.02039567567
60,117766.5718883667
61,218128.34217874147
62,145014.02039567567
63,132918.57889024357
64,165258.07332650758
65,175212.9282077942
66,175212.9282077942
67,145014.02039567567
68,115521.42855874634
69,69489.65006867981
70,133729.12025872804
71,178954.25971833803
72,87289.42579118347
73,63977.19065515137
74,86207.75704614258
75,122910.44769517516
76,52556.70066300965
77,77752.9778637085
78,121584.04954187012
79,134208.5646003876
80,23996.900118270874
81,48641.28713075256
82,175374.90235559084
83,222511.5546745453
84,109863.33429185486
85,75324.1851696167
86,75324.1851696167
87,152710.7785743866
88,145014.02039567567
89,50836.18728677368
90,64031.14419213867
91,47147.94462243653
92,86780.14660302734
93,62586.86463586426
94,145014.02039567567
95,176041.9722866211
96,55856.26532785034
97,75311.32930032349
98,74206.44829598999
99,165514.72489205934
100,145014.02039567567
101,117766.5718883667
102,117766.5718883667
103,175212.9282077942
104,152710.7785743866
105,52219.41869775391
106,115521.42855874634
