id,salary_in_usd
0,112236.5241006847
1,157411.657492016
2,125630.5295807199
3,51569.31600307438
4,31552.6015145446
5,58531.7439287717
6,70930.12930309697
7,44450.746557116436
8,43758.9657191017
9,161422.12375940252
10,25117.63572600501
11,161218.1131638322
12,52985.1232072598
13,31018.13453277719
14,78054.55859619705
15,51899.45005861091
16,85233.10682819966
17,125349.93416193889
18,54270.572330838746
19,35915.460872815696
20,120660.65107679872
21,56985.67146482704
22,75074.10450191489
23,278856.1936913674
24,27338.234509019556
25,19030.442511935566
26,83265.66853229191
27,235510.7801874861
28,29409.716038935807
29,125913.7976562658
30,99811.1806515362
31,129309.95671665067
32,147532.3934030137
33,67344.67838793824
34,62506.87381417772
35,58037.51077362235
36,180626.9314471626
37,50706.06996283666
38,54621.313337765976
39,295832.2071525527
40,8315.625725698626
41,10034.236343902367
42,125349.93416193889
43,160937.51774505118
44,78014.58194453274
45,385925.62363918254
46,134214.01978218395
47,42534.751910570725
48,129309.95671665067
49,43767.896038413746
50,131321.24568261934
51,65402.68162404721
52,136970.49552836292
53,140837.10771012784
54,105099.45252211609
55,72911.14591532097
56,155611.7787456346
57,189576.42958790477
58,110878.12047612938
59,151188.1238418558
60,110878.12047612938
61,233921.78570046002
62,151188.1238418558
63,149766.01676718294
64,163244.9917136489
65,181566.52925580795
66,181566.52925580795
67,151188.1238418558
68,108852.97073057939
69,75609.49939710881
70,133314.14872120865
71,166342.50919389253
72,78338.76791447187
73,58505.58059337799
74,108396.15831475946
75,139415.00063545498
76,58505.58059337799
77,73607.59622083028
78,74606.31172877143
79,279112.32995453646
80,27917.192559940035
81,41303.541107669844
82,283532.36765413877
83,348624.6078541593
84,107124.60226766608
85,75492.09842634197
86,75492.09842634197
87,155611.7787456346
88,151188.1238418558
89,85069.7266209493
90,61872.236232169664
91,54550.28725101645
92,94064.69679750911
93,62403.15759426337
94,151188.1238418558
95,324373.1021658861
96,45855.564843800414
97,77572.79158935539
98,58949.07711817966
99,108852.97073057939
100,151188.1238418558
101,110878.12047612938
102,110878.12047612938
103,181566.52925580795
104,155611.7787456346
105,37906.617251182055
106,108852.97073057939
