id,salary_in_usd
0,82078.31473182343
1,112539.83750367728
2,103175.22295637085
3,78903.92862035421
4,107503.82495353546
5,103498.32002943946
6,162887.67461511426
7,78658.74509846156
8,102677.88066433885
9,127187.66372533857
10,118072.06485827535
11,120993.51468177245
12,86820.90177348524
13,77401.29748632941
14,130373.1717946417
15,75184.28799167818
16,155280.3185857251
17,105662.93154359887
18,138606.27720460566
19,124316.47344532199
20,76299.0783184943
21,92377.26348740808
22,113005.3023858636
23,126731.94762419391
24,111930.23435355633
25,120673.01757748384
26,91475.39641565028
27,106514.0968087455
28,69756.59100384483
29,149233.62386855675
30,130039.61523341834
31,113692.65465460735
32,112878.97992054018
33,74860.79377482396
34,90353.07743429106
35,134024.7391095555
36,133965.18289109442
37,70714.87938174597
38,123347.68851248306
39,131517.80387384634
40,118584.62231295326
41,108867.46731092998
42,103143.49875555786
43,132793.51506652732
44,110255.67763810264
45,147083.37076655106
46,81275.24353654131
47,117252.2924550223
48,113692.65465460735
49,139255.5317986735
50,108155.72420504653
51,78401.3597673624
52,84857.48508135548
53,97931.26968190681
54,82435.2957822018
55,79890.7112596694
56,127921.89105371897
57,138978.28269155594
58,124270.46259881298
59,122484.02150154108
60,124270.46259881298
61,145850.70546860332
62,122484.02150154108
63,101620.83859493218
64,106903.62877291538
65,128540.80938875173
66,128540.80938875173
67,122484.02150154108
68,103102.98818619899
69,84043.85416411814
70,82634.47651532509
71,127109.46071221257
72,79435.52340241324
73,114170.7567639864
74,119737.0969726079
75,81250.25311662073
76,95445.97735317949
77,96292.60819926701
78,96984.40356416618
79,88299.30531730138
80,102533.5620226421
81,101147.42040877174
82,110763.52010946182
83,116620.2005201425
84,99359.60655983645
85,83437.58423897736
86,83437.58423897736
87,127921.89105371897
88,122484.02150154108
89,155896.68396837136
90,107812.99967885987
91,108428.82479994421
92,97609.86510447916
93,89299.80558586978
94,122484.02150154108
95,114483.55033202286
96,125216.3796147597
97,112872.46785853684
98,89959.67349549865
99,113278.2051315604
100,122484.02150154108
101,124270.46259881298
102,124270.46259881298
103,128540.80938875173
104,127921.89105371897
105,100606.69826473233
106,103102.98818619899
